2023-01-26,10:45:53,-30.254,-178.6685,135.699,6,"Kermadec Islands, New Zealand"
2023-01-26,9:11:56,19.1126,-66.3113,28,3.46,"71 km N of Brenas, Puerto Rico"
2023-01-26,7:58:05,32.9615,-116.3011667,10.43,2.5,"26km SW of Ocotillo Wells, CA"
2023-01-26,7:06:03,38.8055,-122.8088303,1.28,2.51,"6km NW of The Geysers, CA"
2023-01-26,6:33:44,2.874,127.1574,59.198,4.9,"158 km NW of Tobelo, Indonesia"
2023-01-26,5:45:14,31.69239017,-104.2946447,7.211303711,2.5,"54 km S of Whites City, New Mexico"
2023-01-26,4:29:44,-0.1167,-77.4795,10,4.1,Ecuador
2023-01-26,4:23:51,2.8733,126.965,35,5.7,"171 km NW of Tobelo, Indonesia"
2023-01-26,4:16:05,16.6078,-25.6214,10,5.3,"74 km SW of Porto Novo, Cabo Verde"
2023-01-26,4:07:54,-30.4621,-178.5405,35,4.5,"Kermadec Islands, New Zealand"
2023-01-26,3:16:21,-1.9745,-79.9816,77.663,4.6,Ecuador
2023-01-26,1:41:56,36.0873,70.2599,128.709,4.1,"64 km SSE of Farkhār, Afghanistan"
2023-01-26,1:26:19,19.18366667,-155.4955,34.29,2.7,"2 km SW of Pāhala, Hawaii"
2023-01-26,1:17:00,-16.9679,-69.5808,190.929,4.3,Peru-Bolivia border region
2023-01-26,1:11:28,36.7775,-121.4841667,4.73,2.81,"9km SSE of San Juan Bautista, CA"
2023-01-26,0:45:03,18.08833333,-66.05266667,21.82,2.5,"6 km N of Yaurel, Puerto Rico"
2023-01-25,23:38:27,12.48,40.5288,10,4.3,"92 km NW of Semera, Ethiopia"
2023-01-25,23:23:43,40.392,-125.2368333,9.72,2.6,"81km W of Petrolia, CA"
2023-01-25,23:21:33,29.7569,102.0783,10,4.9,"29 km SSE of Kangding, China"
2023-01-25,23:14:42,-24.019,179.9833,514.333,4.5,south of the Fiji Islands
2023-01-25,22:27:31,20.216,146.1963,35,4.7,Mariana Islands region
